epoch,accuracy,dice_coef,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9813170433044434,0.26926282048225403,0.11312197893857956,0.001,0.6101537942886353,0.9833045601844788,0.9711071848869324,0.9945070147514343,0.9841576218605042,0.27645787596702576,0.08154193311929703,0.3886963725090027,0.9843997359275818,0.9835870862007141,0.9948285818099976
1,0.9824793934822083,0.2825894355773926,0.07264549285173416,0.001,0.6208222508430481,0.9834617376327515,0.9811021685600281,0.9944984316825867,0.9841222763061523,0.3051025867462158,0.06917186081409454,0.5866203904151917,0.989447832107544,0.9760351181030273,0.9964359402656555
2,0.9827061295509338,0.29625439643859863,0.06826717406511307,0.001,0.5751481056213379,0.9841906428337097,0.9798639416694641,0.994732677936554,0.9841341376304626,0.28233852982521057,0.06451628357172012,0.47731760144233704,0.984089732170105,0.9840989112854004,0.9947041869163513
3,0.9826830625534058,0.31781110167503357,0.06245945021510124,0.001,0.4459909200668335,0.9851625561714172,0.9808571934700012,0.9950404167175293,0.9842146635055542,0.31661614775657654,0.05718764290213585,0.385358601808548,0.984555721282959,0.9839973449707031,0.9948604702949524
4,0.9830886125564575,0.34876731038093567,0.05474969372153282,0.001,0.41044434905052185,0.9880297183990479,0.979929506778717,0.9959633946418762,0.987142026424408,0.3918440043926239,0.045822858810424805,0.4107051491737366,0.9927757978439331,0.9818288683891296,0.9974862933158875
5,0.9846124053001404,0.37801164388656616,0.04920656606554985,0.001,0.4070415794849396,0.9894722104072571,0.9807318449020386,0.9964271187782288,0.9859131574630737,0.35055819153785706,0.047264087945222855,0.4083689749240875,0.9874185919761658,0.9847758412361145,0.995797336101532
6,0.986379086971283,0.39965397119522095,0.04389676824212074,0.001,0.4054824411869049,0.9897676706314087,0.9830074310302734,0.9965200424194336,0.9886780977249146,0.44129815697669983,0.040364962071180344,0.45080050826072693,0.9911473989486694,0.9858908653259277,0.9969868063926697
7,0.9873835444450378,0.43847182393074036,0.0401417501270771,0.001,0.4323074519634247,0.990705668926239,0.9841063618659973,0.9968233108520508,0.9897699952125549,0.4748867154121399,0.03582925349473953,0.4158080220222473,0.9915018677711487,0.9878498911857605,0.9971162676811218
8,0.9883291721343994,0.46135756373405457,0.03666400536894798,0.001,0.4315629005432129,0.9911355376243591,0.9852789640426636,0.9969770908355713,0.9892988801002502,0.45158639550209045,0.03777911514043808,0.40390801429748535,0.9908479452133179,0.9875098466873169,0.9968976974487305
9,0.9885252118110657,0.47345951199531555,0.03421221300959587,0.001,0.4352339506149292,0.9916818737983704,0.9853171110153198,0.997140109539032,0.9902154803276062,0.4789449870586395,0.03401916101574898,0.4305107593536377,0.9921432733535767,0.9878199696540833,0.9973174333572388
10,0.9899287223815918,0.5094653367996216,0.030141042545437813,0.001,0.4451428949832916,0.9923774600028992,0.9870360493659973,0.9973832964897156,0.9906015992164612,0.5096836090087891,0.03204251825809479,0.4351326525211334,0.9917446970939636,0.9889683127403259,0.9972114562988281
11,0.989869236946106,0.5077802538871765,0.03050939179956913,0.001,0.5015712380409241,0.9920588135719299,0.9873095750808716,0.9972832798957825,0.9908192157745361,0.5211888551712036,0.029869964346289635,0.45967572927474976,0.9927629828453064,0.9884514808654785,0.9975172281265259
12,0.9907544255256653,0.5355165600776672,0.02720283530652523,0.001,0.5137016773223877,0.9925775527954102,0.9882014393806458,0.9974621534347534,0.9917628765106201,0.5249831676483154,0.0279378779232502,0.4698888659477234,0.993416428565979,0.9893564581871033,0.9977409839630127
13,0.9908788204193115,0.5402488708496094,0.027463307604193687,0.001,0.5068662166595459,0.9926967024803162,0.9882951974868774,0.9975025057792664,0.9920583963394165,0.5630581974983215,0.027742167934775352,0.5036705732345581,0.9929590225219727,0.9904248118400574,0.9976110458374023
14,0.9916307330131531,0.5635064244270325,0.024614373221993446,0.001,0.5507307648658752,0.9929744601249695,0.989425539970398,0.9976062178611755,0.9915086030960083,0.5244643092155457,0.02804591692984104,0.6564942598342896,0.9924566149711609,0.9897541403770447,0.9974491000175476
15,0.9919754862785339,0.5778934955596924,0.023025158792734146,0.001,0.5719634294509888,0.9931496381759644,0.9898902773857117,0.9976660013198853,0.9926609992980957,0.5737406015396118,0.025763405486941338,0.7380328178405762,0.9937078356742859,0.990730881690979,0.9978629350662231
